categoria,rank,title,app_id,developer,developer_email,developer_website,genre,score,ratings,reviews,installs,min_installs,real_installs,free,price,currency,contains_ads,offers_iap,iap_price,content_rating,released,updated,version,android_version,summary,url,indie_score,growth_score,opportunity_score,perfil_detectado,estimated_mau,revenue_monthly_usd_low,revenue_monthly_usd_base,revenue_monthly_usd_high,profit_monthly_usd_base,revenue_monthly_brl_base,profit_monthly_brl_base,financial_confidence,review_count_collected,review_score_avg_recent,review_positive_pct,review_negative_pct,external_sources_used
Jogos de Cassino,8,Legendary Hero Slots - Casino,casino.legendary.cash.slots.android,BitStrong Games,support@legendaryheroslots.com,http://www.bitstronggames.com,Cassino,4.72,41898,60,1.000.000+,1000000,1357638,1,0,BRL,1,1,"R$ 4,89 – R$ 1.749,99 por item",Classificação 18 anos,5 de set. de 2023,1784882069,1.51,,Experimente a emoção dos caça-níqueis de Las Vegas diretamente no seu celular com o Legendary Hero!,https://play.google.com/store/apps/details?id=casino.legendary.cash.slots.android&hl=pt&gl=br,84,65,91,pequeno/indie,131500,8087.31,28883.24,93870.51,17907.61,155969.47,96701.07,alta,25,4.56,88.0,8.0,"SerpAPI, Firecrawl"
Jogos de Cassino,6,Woohoo™ Slots - Casino Games,com.wh.free.jackpot.casino.slots,Triwin Games,woohooslots@gmail.com,https://www.triwingames.com,Cassino,4.758794,48680,2072,1.000.000+,1000000,1706565,1,0,BRL,1,0,,Classificação 18 anos,5 de dez. de 2022,1770693642,2.2.8,,Cash Casino Slots Game: Have Fun Spinning and Winning Jackpots.,https://play.google.com/store/apps/details?id=com.wh.free.jackpot.casino.slots&hl=pt&gl=br,79,50,86,pequeno/indie,139333,371.62,1327.23,4313.5,637.07,7167.05,3440.18,alta,25,4.52,88.0,12.0,"SerpAPI, Firecrawl"
Jogos de Cassino,12,Show Me Vegas Slots Casino,com.ksgmobileinc.showmevegasslotsv2,"Blitzoo, Inc.",support@showmevegasslots.com,http://www.showmevegasslots.com/,Cassino,4.23,42652,38,1.000.000+,1000000,1600825,1,0,BRL,1,1,"R$ 4,09 – R$ 819,99 por item",Classificação Livre,10 de out. de 2019,1782767818,1.40.2,,Curta caça-níqueis no estilo Vegas jogando em um cassino de verdade,https://play.google.com/store/apps/details?id=com.ksgmobileinc.showmevegasslotsv2&hl=pt&gl=br,69,47,75,oportunidade,118440,81477.85,290992.33,945725.09,180415.25,1571358.6,974242.33,alta,25,3.64,60.0,28.0,"SerpAPI, ScrapingBee"
Jogos de Cassino,1,Slots Slots™: 777 Casino Games,com.slotslimited.fatcatcasino.android,Slots Limited,slotslimited.casino+fatcat@gmail.com,http://www.slotslimited.com,Cassino,4.5286884,24319,710,1.000.000+,1000000,3488041,1,0,BRL,1,1,"R$ 34,99 – R$ 2.199,99 por item",Classificação 18 anos,31 de ago. de 2022,1783509519,1.0.79,,Aposte em 777 slots e roleta no jogo de aposta e vença jackpot no cassino Vegas!,https://play.google.com/store/apps/details?id=com.slotslimited.fatcatcasino.android&hl=pt&gl=br,79,57,70,pequeno/indie,353888,27758.0,99135.72,322191.1,61464.15,535332.91,331906.41,alta,25,4.36,84.0,16.0,"SerpAPI, Firecrawl"
Jogos de Cassino,21,Cassino LasVegas: Dragon Slots,com.vegas.casino.slotmachines,C.C.T Games,zoey.wangdi@gmail.com,http://www.cctgames.com,Cassino,4.3030305,15392,383,1.000.000+,1000000,4417975,1,0,BRL,1,1,"R$ 4,99 – R$ 519,99 por item",Classificação 18 anos,11 de jan. de 2023,1783558425,1.1.7,,Acerte o jackpot! Gire slot 777 online para ganhar mais de 100 milhões de bônus!,https://play.google.com/store/apps/details?id=com.vegas.casino.slotmachines&hl=pt&gl=br,79,56,61,pequeno/indie,412114,180997.7,646420.36,2100866.16,400780.62,3490669.93,2164215.36,alta,25,3.88,72.0,24.0,"SerpAPI, Firecrawl"
Jogos de Cassino,23,Classic Slots™ Caça-Níquel 777,com.aaagame.aaacasino,Slots Limited,slotslimited.casino+ClassicSlots@gmail.com,http://www.slotslimited.com,Cassino,4.71,128322,172,5.000.000+,5000000,7253716,1,0,BRL,1,1,"R$ 4,89 – R$ 2.849,99 por item",Classificação 18 anos,20 de jul. de 2016,1785160501,1.0.769,,Jogue CAÇA-NÍQUEIS REALISTAS no estilo Vegas!,https://play.google.com/store/apps/details?id=com.aaagame.aaacasino&hl=pt&gl=br,29,65,59,crescendo,761825,47316.94,168989.09,549214.54,104773.24,912541.08,565775.47,alta,25,4.2,76.0,16.0,"SerpAPI, Firecrawl"
Jogos de Cassino,19,Jackpot Wins- 777 Casino Slots,com.funtriolimited.slots.casino.free,SpinX Games Limited,jackpotwins-cs@spinxgames.com,https://spinxgames.com/,Cassino,4.5570865,220888,2015,5.000.000+,5000000,9559428,1,0,BRL,1,1,"R$ 0,30 – R$ 509,99 por item",Classificação 18 anos,31 de mai. de 2019,1784522209,3.5.008,,"Faça apostas, gire a roleta e ganhe o Mega Jackpot no Vegas Casino Slots de azar",https://play.google.com/store/apps/details?id=com.funtriolimited.slots.casino.free&hl=pt&gl=br,19,58,55,normal,1016840,434486.89,1551738.91,5043151.46,962078.12,8379390.12,5195221.87,alta,25,4.56,88.0,8.0,"SerpAPI, Firecrawl"
Jogos de Cassino,2,Viva Slots Vegas: Casino Slots,com.RocketGames.ClassicSlots,"Viva Slots Classic Slot Machine Games, LLC",support@vivaslots.com,https://www.vivaslots.com,Cassino,4.4079823,213631,1957,5.000.000+,5000000,8226040,1,0,BRL,1,1,"R$ 3,09 – R$ 1.249,99 por item",Classificação 18 anos,16 de jul. de 2015,1778098936,4.3.01,,"Caça-níqueis clássicas, online ou offline, na segurança de sua casa!",https://play.google.com/store/apps/details?id=com.RocketGames.ClassicSlots&hl=pt&gl=br,19,52,53,normal,658322,36043.19,128725.67,418358.42,79809.91,695118.6,430973.53,alta,25,4.4,84.0,16.0,"SerpAPI, Firecrawl"
Jogos de Cassino,24,88 Fortunes Slots: Caça-Niquel,com.ballytechnologies.f88,SciPlay,android@88fortunes.zendesk.com,https://www.sciplay.com/,Cassino,4.152672,297216,368,5.000.000+,5000000,9817585,1,0,BRL,0,1,"R$ 3,99 – R$ 5.199,99 por item",Classificação 18 anos,17 de jan. de 2017,1782923521,4.30.00,,Os jogos de caça-níquel grátis mais emocionantes com temática asiática!,https://play.google.com/store/apps/details?id=com.ballytechnologies.f88&hl=pt&gl=br,19,47,44,normal,950523,57012.37,203615.62,661750.75,126241.68,1099524.32,681705.08,alta,25,3.32,56.0,44.0,"SerpAPI, Firecrawl"
Jogos de Cassino,15,Jackpot Master™ Slots - Casino,com.jmsgame.jackpotmastercasino,Zeroo Gravity Games,gamesupport@zeroogravity.com,http://zeroogravitygames.com/,Cassino,4.7395835,473328,838,10.000.000+,10000000,11452078,1,0,BRL,1,1,"R$ 4,99 – R$ 2.949,99 por item",Classificação 18 anos,22 de jul. de 2021,1785491619,2.0.87,,Experimente os jogos de caça-níqueis de Las Vegas com jackpots enormes e infinitos!,https://play.google.com/store/apps/details?id=com.jmsgame.jackpotmastercasino&hl=pt&gl=br,19,65,37,crescendo,1228243,76422.35,272936.98,887045.19,169220.93,1473859.69,913793.01,alta,25,4.68,92.0,8.0,"SerpAPI, ScrapingBee"
