categoria,rank,title,app_id,developer,developer_email,developer_website,genre,score,ratings,reviews,installs,min_installs,real_installs,free,price,currency,contains_ads,offers_iap,iap_price,content_rating,released,updated,version,android_version,summary,url,indie_score,growth_score,opportunity_score,perfil_detectado,estimated_mau,revenue_monthly_usd_low,revenue_monthly_usd_base,revenue_monthly_usd_high,profit_monthly_usd_base,revenue_monthly_brl_base,profit_monthly_brl_base,financial_confidence,review_count_collected,review_score_avg_recent,review_positive_pct,review_negative_pct,external_sources_used
Produtividade,1,Super Planner: Rotina TDAH IA,super.planner.todolist.task.reminder,Polestar App Cloner Dev.,polestar.applab@gmail.com,https://thepixieai.com/,Produtividade,4.890196,5889,313,100.000+,100000,336763,1,0,BRL,1,1,"R$ 5,49 – R$ 169,99 por item",Classificação Livre,13 de jan. de 2025,1785343297,1.5.50.0723,,"Gerencie planos, acompanhe seu humor e transforme metas em ação.",https://play.google.com/store/apps/details?id=super.planner.todolist.task.reminder&hl=pt&gl=br,100,74,97,pequeno/indie,35683,2331.17,8325.6,27058.21,5161.87,44958.26,27874.12,alta,25,4.28,80.0,12.0,"SerpAPI, ScrapingBee"
Produtividade,11,"Lista de tarefas, Lembretes",com.to_do_list_studio.uptodo,Productivity Apps Studio,taskup-support@todo-list-studio.com,https://www.todo-list-studio.com/taskup,Produtividade,4.73,2047,91,100.000+,100000,135001,1,0,BRL,1,1,"R$ 19,99 – R$ 119,99 por item",Classificação Livre,27 de jul. de 2024,1784215327,1.14.0,,"Organizador de rotina & Lista de tarefas,Lembretes & Planejamento semanal,Agenda",https://play.google.com/store/apps/details?id=com.to_do_list_studio.uptodo&hl=pt&gl=br,100,71,96,pequeno/indie,13597,711.75,2541.96,8261.38,1576.02,13726.6,8510.49,média,25,4.64,100.0,0.0,"SerpAPI, ScrapingBee"
Produtividade,15,NextShift - Escala de trabalho,com.shiftworkerslab.nextshift,Shift Workers Lab,support@nextshiftapp.com,https://nextshiftapp.com,Produtividade,4.9038463,2791,93,50.000+,50000,68700,1,0,BRL,0,1,"R$ 5,49 – R$ 64,99 por item",Classificação Livre,7 de out. de 2025,1785212674,1.10.1,,"Escala de trabalho, turnos e ganhos - tudo em um único calendário de turnos",https://play.google.com/store/apps/details?id=com.shiftworkerslab.nextshift&hl=pt&gl=br,100,61,94,pequeno/indie,6653,171.51,612.55,1990.78,379.78,3307.75,2050.8,média,25,4.76,92.0,4.0,"SerpAPI, Firecrawl"
Produtividade,22,Recordo: TDAH Agenda & Rotina,app.recordo.adhd,Recordo Apps,contact@recordo.app,https://recordo.app,Produtividade,4.6363635,242,1,10.000+,10000,21372,1,0,BRL,0,1,"R$ 38,99 – R$ 314,99 por item",Classificação Livre,16 de dez. de 2025,1785541838,2.19.0,,"IA organizador: lembretes, journal, tarefas, checklist, caderno e cronograma",https://play.google.com/store/apps/details?id=app.recordo.adhd&hl=pt&gl=br,100,57,93,pequeno/indie,1605,136.07,485.95,1579.34,301.29,2624.14,1626.97,baixa,1,5.0,100.0,0.0,"SerpAPI, Firecrawl"
Produtividade,20,Weeklo: Planejador Semanal,app.weeklo.weeklyplanner.schedule,Unique Pixel Studio,support@weeklo.app,https://weeklo.app/,Produtividade,4.733333,521,17,10.000+,10000,39336,1,0,BRL,0,1,"R$ 7,99 – R$ 289,99 por item",Classificação Livre,19 de dez. de 2025,1785004507,2.0.5,,"Planejador semanal simples para sua agenda semanal, tarefas e compromissos.",https://play.google.com/store/apps/details?id=app.weeklo.weeklyplanner.schedule&hl=pt&gl=br,100,58,93,pequeno/indie,3683,401.49,1433.89,4660.16,889.01,7743.03,4800.68,média,19,4.53,84.2,10.5,"SerpAPI, Firecrawl"
Produtividade,2,Notas do calendário,com.asyncbyte.calendar.notes,AsyncByte Software,AsyncByte@gmail.com,http://www.asyncbyte-software.com/,Produtividade,4.51,2761,134,1.000.000+,1000000,1122707,1,0,BRL,1,0,,Classificação Livre,6 de jan. de 2017,1785398589,1.0.34,,Aplicação de anotações de calendário simples e fácil de usar.,https://play.google.com/store/apps/details?id=com.asyncbyte.calendar.notes&hl=pt&gl=br,100,55,92,pequeno/indie,126712,145.34,519.07,1686.96,249.15,2802.96,1345.42,média,25,4.6,84.0,0.0,"SerpAPI, ScrapingBee"
Produtividade,21,Hizo: Hábitos e Tarefas,dev.voksu.hizo,Hizo,support@hizo.me,https://hizo.me,Produtividade,4.65,7486,178,1.000.000+,1000000,1206962,1,0,BRL,0,1,"R$ 21,99 – R$ 194,99 por item",Classificação Livre,27 de jun. de 2023,1784710111,1.22.11,,Crie hábitos facilmente e acompanhe-os em uma interface intuitiva.,https://play.google.com/store/apps/details?id=dev.voksu.hizo&hl=pt&gl=br,84,62,90,pequeno/indie,136722,10850.37,38751.32,125941.8,24025.82,209257.15,129739.43,alta,25,4.76,96.0,4.0,"SerpAPI, Firecrawl"
Produtividade,24,Journal it! Produtividade,org.de_studio.diary,Doit Apps,hai@doit.me,https://home.journalit.app/,Produtividade,4.45,10699,232,1.000.000+,1000000,1140191,1,0,BRL,0,1,"R$ 3,19 – R$ 619,99 por item",Classificação Livre,21 de mai. de 2017,1785317133,10.5.34,,"Organizador de vida & produtividade: diário, agenda, notas & bullet journal.",https://play.google.com/store/apps/details?id=org.de_studio.diary&hl=pt&gl=br,84,57,89,pequeno/indie,117079,26685.61,95305.74,309743.66,59089.56,514651.0,319083.62,alta,25,4.64,92.0,4.0,"SerpAPI, ScrapingBee"
Produtividade,3,"24me: Agenda, Tarefas",me.twentyfour.www,24me,info@twentyfour.me,http://www.twentyfour.me,Produtividade,4.47,7141,158,500.000+,500000,636779,1,0,BRL,0,1,"R$ 33,50 – R$ 364,99 por item",Classificação Livre,10 de dez. de 2014,1781303907,Varies with device,,"Assistente pessoal inteligente - Sua Agenda, Tarefas e Anotações em um só app",https://play.google.com/store/apps/details?id=me.twentyfour.www&hl=pt&gl=br,84,53,88,pequeno/indie,52878,7006.23,25022.26,81322.34,15513.8,135120.2,83774.53,alta,25,4.16,76.0,16.0,"SerpAPI, ScrapingBee"
Produtividade,14,Agenda & Planner: Brite To Do,io.konveier.timo,Brite Technologies LLC,hello@britetodo.com,https://britetodo.com,Produtividade,4.4593024,12568,210,500.000+,500000,549183,1,0,BRL,0,1,"R$ 16,99 – R$ 679,99 por item",Classificação Livre,10 de jun. de 2021,1778795306,8.999,,"Tudo em um: organizador de rotina, lista de tarefas, planejamento diario, agenda",https://play.google.com/store/apps/details?id=io.konveier.timo&hl=pt&gl=br,84,51,87,pequeno/indie,45251,10486.76,37452.72,121721.33,23220.68,202244.67,125391.69,alta,25,3.44,52.0,32.0,"SerpAPI, Firecrawl"
