categoria,rank,title,app_id,developer,developer_email,developer_website,genre,score,ratings,reviews,installs,min_installs,real_installs,free,price,currency,contains_ads,offers_iap,iap_price,content_rating,released,updated,version,android_version,summary,url,indie_score,growth_score,opportunity_score,perfil_detectado,estimated_mau,revenue_monthly_usd_low,revenue_monthly_usd_base,revenue_monthly_usd_high,profit_monthly_usd_base,revenue_monthly_brl_base,profit_monthly_brl_base,financial_confidence,review_count_collected,review_score_avg_recent,review_positive_pct,review_negative_pct,external_sources_used
Beleza,22,Skincare Routine: FeelinMySkin,com.feelinmyskin.app,FeelinMySkin,contact@feelinmyskin.com,https://www.feelinmyskin.com/,Beleza,4.6237626,4560,92,100.000+,100000,335364,1,0,BRL,0,1,"R$ 14,99 – R$ 149,99 por item",Classificação Livre,8 de ago. de 2020,1785496416,2.11.370,,Skin Care Routines Planner • Acne & Product Tracker • Journal & Community,https://play.google.com/store/apps/details?id=com.feelinmyskin.app&hl=pt&gl=br,100,62,94,pequeno/indie,35527,1241.13,4432.62,14406.0,2748.22,23936.12,14840.4,média,25,4.8,96.0,0.0,"SerpAPI, Firecrawl"
Beleza,17,"Maquiagem: Vídeos, Cursos & IA",makeup.app.artist.tips.tutorial,Rstream Labs,contact.rstreamlabs@gmail.com,https://www.ria.rocks,Beleza,4.52,4444,77,500.000+,500000,549072,1,0,BRL,1,1,"R$ 2,29 – R$ 224,99 por item",Classificação 12 anos,7 de out. de 2022,1778501116,3.0.595,,"Curso de maquiagem em vídeo, análise de pele IA e dicas para iniciantes",https://play.google.com/store/apps/details?id=makeup.app.artist.tips.tutorial&hl=pt&gl=br,100,49,91,pequeno/indie,49765,2207.36,7883.43,25621.13,4887.72,42570.5,26393.71,média,25,4.64,92.0,4.0,"SerpAPI, ScrapingBee"
Beleza,16,Beleza Natural: Skincare,com.rstream.beautycare,Rstream Labs,rstreamlabs@gmail.com,http://www.ria.rocks,Beleza,4.326087,552,8,50.000+,50000,76349,1,0,BRL,1,1,"R$ 2,29 – R$ 329,99 por item",Classificação 14 anos,27 de mar. de 2019,1778501640,3.0.592,,Receitas caseiras e rotina de beleza para pele radiante e cabelos saudáveis,https://play.google.com/store/apps/details?id=com.rstream.beautycare&hl=pt&gl=br,100,45,82,pequeno/indie,5636,363.58,1298.51,4220.16,805.08,7011.96,4347.42,média,12,3.25,58.3,41.7,"SerpAPI, ScrapingBee"
Beleza,19,Skincare Star: Makeover Story,com.fc.p.gp.skincare.star.asmr.onlinegames,Think Different FC.,tdifferentfc@gmail.com,https://falcongames.com/,Simulador,3.911111,827,11,1.000.000+,1000000,1050680,1,0,BRL,1,1,"R$ 10,99 – R$ 15,99 por item",Classificação Livre,27 de nov. de 2025,1784624571,0.1.5,,"Momentos suaves de ASMR para cuidar da pele, repletos de sons calmos, relaxantes e reconfortantes.",https://play.google.com/store/apps/details?id=com.fc.p.gp.skincare.star.asmr.onlinegames&hl=pt&gl=br,100,66,77,pequeno/indie,91324,932.24,3329.43,10820.64,2064.25,17978.91,11146.93,média,12,3.67,66.7,33.3,"SerpAPI, Firecrawl"
Beleza,2,ASMR de cuidados com a pele,com.gs.asmr.skincare.relaxing.spa.games,Gaming Switch Studio,gamejazzy4@gmail.com,https://k29f028a8.app-ads-txt.com,Casuais,3.4444444,114,4,100.000+,100000,145933,1,0,BRL,1,0,,Classificação Livre,1 de jan. de 2026,1781895180,3.4,,Rotina de cuidados com a pele e beleza limpa em um jogo satisfatório,https://play.google.com/store/apps/details?id=com.gs.asmr.skincare.relaxing.spa.games&hl=pt&gl=br,100,50,73,pequeno/indie,9506,5.26,18.78,61.02,9.01,101.39,48.67,média,4,2.25,25.0,75.0,"SerpAPI, Firecrawl"
Beleza,8,Makeup Skin Care: Salão ASMR,com.makeup.skincare.satisfying.asmr.games,Kitchen Tales,feed.kitchentales@gmail.com,https://thekitchentales.com,RPG,3.125,60,2,50.000+,50000,50781,1,0,BRL,1,0,,Classificação Livre,24 de jan. de 2025,1781878087,1.5,,Desfrute de maquiagem e cuidados com a pele neste relaxante jogo de salão ASMR.,https://play.google.com/store/apps/details?id=com.makeup.skincare.satisfying.asmr.games&hl=pt&gl=br,100,37,70,pequeno/indie,3110,4.98,17.78,57.79,8.54,96.02,46.09,média,2,4.5,100.0,0.0,"SerpAPI, Firecrawl"
Beleza,21,Skincare ASMR: Perfect Time,com.skincare.asmr.perfect.time,BLACKGEMS GLOBAL JOINT STOCK COMPANY,info@blackgems.dev,https://blackgemsglobal.net/,Simulador,3.8666666,230,2,100.000+,100000,236878,1,0,BRL,1,1,"R$ 39,99 por item",Classificação Livre,18 de dez. de 2025,1769090908,1.0.09.07.02,,Relaxe a mente com um jogo ASMR de cuidados com a pele.,https://play.google.com/store/apps/details?id=com.skincare.asmr.perfect.time&hl=pt&gl=br,100,24,67,pequeno/indie,15855,292.29,1043.88,3392.61,647.21,5636.96,3494.91,média,2,3.0,50.0,50.0,"SerpAPI, Firecrawl"
Beleza,15,ASMR Salon: Skincare & Makeup,com.makeupsalon.asmr.skincare,GameiFun - Educational games,rspatel6994@gmail.com,https://webclient.skenix.com,Simulador,,,,10.000+,10000,21882,1,0,BRL,1,0,,Classificação Livre,2 de jul. de 2025,1759831782,1.0.11,,Relaxante jogo ASMR de cuidados com a pele e maquiagem para meninas. Divirta-se no salão de beleza!,https://play.google.com/store/apps/details?id=com.makeupsalon.asmr.skincare&hl=pt&gl=br,100,17,65,pequeno/indie,1272,0.89,3.17,10.32,1.52,17.14,8.23,baixa,0,0.0,0.0,0.0,"SerpAPI, ScrapingAnt"
Beleza,13,Skincare ASMR Makeup Games,com.pg.skincare.asmr.makeup.time.game,Pop it Games,coconutgames00@gmail.com,https://dreamdoor.trimindsstudio.com/,Casuais,,,,100.000+,100000,221107,1,0,BRL,1,0,,Classificação Livre,,,Varies with device,,Desfrute de uma experiência relaxante de cuidados de beleza com ASMR de skincare e maquiagem divertida.,https://play.google.com/store/apps/details?id=com.pg.skincare.asmr.makeup.time.game&hl=pt&gl=br,100,0,61,pequeno/indie,14743,7.12,25.41,82.59,12.2,137.23,65.87,média,0,0.0,0.0,0.0,"SerpAPI, ScrapingBee"
Beleza,24,Care to Beauty: Tudo em Beleza,com.caretobeauty.app,Care to Beauty,developers@caretobeauty.com,https://www.caretobeauty.com,Compras,,,,50.000+,50000,79616,1,0,BRL,0,0,,Classificação Livre,4 de jul. de 2024,1784803707,19.0.0.0,,"Compre sua maquiagem, beleza e cuidados de pele com entrega em todo o mundo.",https://play.google.com/store/apps/details?id=com.caretobeauty.app&hl=pt&gl=br,100,43,53,pequeno/indie,7070,0.0,0.0,0.0,0.0,0.0,0.0,baixa,8,4.5,87.5,12.5,"SerpAPI, ScrapingBee"
